epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,4406.02,1.17797,0.84783,1.23346,0.73016,0.40923,0.48003,0.35732,1.06586,0.86906,1.2408,0.0009415,0.0009415,0.0009415
185,4424.78,1.14665,0.82756,1.23745,0.75092,0.40961,0.48234,0.36034,1.07268,0.86623,1.23588,0.000892,0.000892,0.000892
186,4443.38,1.18432,0.84256,1.23813,0.73438,0.41239,0.48498,0.35997,1.07554,0.8682,1.24118,0.0008425,0.0008425,0.0008425
187,4462.18,1.15549,0.84069,1.22373,0.7419,0.41462,0.48237,0.3589,1.06638,0.86197,1.25143,0.000793,0.000793,0.000793
188,4481.21,1.16235,0.85394,1.2322,0.73542,0.41311,0.4824,0.35915,1.07676,0.86821,1.23685,0.0007435,0.0007435,0.0007435
189,4499.87,1.1851,0.84593,1.22723,0.76284,0.40534,0.48358,0.36206,1.06206,0.86527,1.23452,0.000694,0.000694,0.000694
190,4519.02,1.21212,0.96665,1.2972,0.75236,0.40983,0.48334,0.361,1.06379,0.86694,1.2307,0.0006445,0.0006445,0.0006445
191,4538.19,1.18653,0.83693,1.22661,0.74476,0.4073,0.48095,0.36001,1.06824,0.86296,1.2375,0.000595,0.000595,0.000595
192,4557.48,1.16067,0.84018,1.21708,0.74286,0.40745,0.47942,0.35841,1.06206,0.86375,1.23508,0.0005455,0.0005455,0.0005455
193,4576.56,1.15562,0.82452,1.21564,0.73448,0.41034,0.4806,0.35916,1.06107,0.86496,1.2351,0.000496,0.000496,0.000496
194,4595.59,1.15736,0.8435,1.23091,0.73971,0.41046,0.48221,0.35869,1.06624,0.8629,1.23935,0.0004465,0.0004465,0.0004465
195,4614.41,1.17283,0.82668,1.22947,0.7364,0.41435,0.48417,0.36205,1.05812,0.85889,1.24089,0.000397,0.000397,0.000397
196,4633.8,1.16351,0.82146,1.20902,0.76792,0.40117,0.48323,0.36187,1.05401,0.8614,1.236,0.0003475,0.0003475,0.0003475
197,4652.79,1.14609,0.82458,1.20016,0.75609,0.40799,0.48347,0.36122,1.05546,0.85726,1.23423,0.000298,0.000298,0.000298
198,4671.91,1.16516,0.82606,1.21116,0.71772,0.41926,0.48378,0.36264,1.05597,0.85952,1.23218,0.0002485,0.0002485,0.0002485
199,4690.76,1.17889,0.84848,1.21329,0.73178,0.41414,0.48385,0.36182,1.05482,0.86093,1.23436,0.000199,0.000199,0.000199
200,4709.82,1.20016,1.14193,1.22967,0.73698,0.41614,0.48568,0.36312,1.05346,0.8573,1.23425,0.0001495,0.0001495,0.0001495
