epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1455.75,1.57092,1.30673,1.37727,0.63871,0.27678,0.32227,0.21786,1.35942,1.39699,1.40587,0.007921,0.007921,0.007921
44,1478.02,1.59113,1.37673,1.38052,0.60276,0.27406,0.32245,0.21983,1.35253,1.33007,1.44574,0.0078715,0.0078715,0.0078715
45,1500.24,1.57217,1.31978,1.35817,0.62302,0.29156,0.3306,0.22413,1.32581,1.21181,1.37858,0.007822,0.007822,0.007822
46,1522.46,1.57834,1.32219,1.36333,0.63105,0.2885,0.35103,0.24108,1.33656,1.29911,1.41451,0.0077725,0.0077725,0.0077725
47,1547.13,1.56666,1.30769,1.34707,0.57967,0.27929,0.33789,0.23304,1.32615,1.33622,1.36273,0.007723,0.007723,0.007723
48,1569.33,1.55176,1.29449,1.36082,0.54398,0.29103,0.33957,0.23809,1.31522,1.27867,1.38892,0.0076735,0.0076735,0.0076735
49,1591.25,1.52449,1.28105,1.33984,0.67879,0.28412,0.34236,0.23587,1.32447,1.25918,1.35914,0.007624,0.007624,0.007624
50,1613.61,1.53346,1.2739,1.35717,0.54385,0.30133,0.33907,0.23574,1.30324,1.20347,1.3766,0.0075745,0.0075745,0.0075745
51,1636.61,1.53503,1.25346,1.33504,0.61748,0.29851,0.33531,0.22869,1.33899,1.36746,1.39434,0.007525,0.007525,0.007525
52,1658.94,1.53094,1.25471,1.33442,0.65374,0.30714,0.35906,0.24826,1.29627,1.24279,1.35053,0.0074755,0.0074755,0.0074755
53,1681.06,1.54971,1.26894,1.33039,0.52315,0.29862,0.33542,0.23052,1.30433,1.26774,1.37702,0.007426,0.007426,0.007426
54,1704.99,1.5078,1.24797,1.32426,0.61725,0.28421,0.34344,0.23644,1.31279,1.39678,1.40319,0.0073765,0.0073765,0.0073765
55,1726.49,1.51414,1.25173,1.32657,0.56684,0.29631,0.34666,0.24352,1.2583,1.15863,1.34498,0.007327,0.007327,0.007327
56,1753.81,1.51929,1.24225,1.32356,0.50743,0.29463,0.33837,0.23441,1.29663,1.40427,1.38148,0.0072775,0.0072775,0.0072775
57,1775.41,1.49222,1.23308,1.33145,0.66548,0.30023,0.35538,0.24175,1.30456,1.23452,1.34262,0.007228,0.007228,0.007228
58,1796.31,1.49687,1.26415,1.32645,0.53206,0.3263,0.36358,0.25434,1.28335,1.13566,1.37187,0.0071785,0.0071785,0.0071785
59,1817.23,1.53707,1.27461,1.36069,0.55469,0.32263,0.35508,0.24208,1.33131,1.14719,1.47966,0.007129,0.007129,0.007129
60,1840.75,1.52817,1.24144,1.34886,0.5702,0.30128,0.33902,0.23677,1.27222,1.23895,1.34699,0.0070795,0.0070795,0.0070795
61,1864.56,1.52324,1.26316,1.33903,0.62602,0.31731,0.35617,0.2493,1.273,1.27286,1.37902,0.00703,0.00703,0.00703
62,1891.25,1.52533,1.23005,1.33174,0.66198,0.30648,0.34965,0.24294,1.31436,1.41162,1.4499,0.0069805,0.0069805,0.0069805
63,1913.31,1.49353,1.22792,1.3403,0.67787,0.31168,0.35945,0.25564,1.23286,1.19407,1.34452,0.006931,0.006931,0.006931
64,1935.05,1.51334,1.2183,1.32889,0.54938,0.32089,0.36702,0.25448,1.26088,1.12267,1.35231,0.0068815,0.0068815,0.0068815
65,1961.4,1.5399,1.27127,1.33678,0.66745,0.28194,0.35154,0.24317,1.31986,1.51926,1.41698,0.006832,0.006832,0.006832
66,1985.78,1.52591,1.20398,1.31706,0.63555,0.29849,0.37519,0.25857,1.28507,1.28019,1.34117,0.0067825,0.0067825,0.0067825
67,2007.48,1.47336,1.18753,1.32436,0.59926,0.31343,0.35769,0.24709,1.27218,1.15009,1.32901,0.006733,0.006733,0.006733
68,2029.53,1.50307,1.21555,1.32712,0.69827,0.3129,0.37794,0.26374,1.26077,1.23934,1.34184,0.0066835,0.0066835,0.0066835
69,2050.78,1.44999,1.19341,1.31443,0.53389,0.32122,0.36955,0.26357,1.22119,1.11947,1.35226,0.006634,0.006634,0.006634
70,2071.88,1.46096,1.1768,1.30052,0.56637,0.32013,0.3659,0.25378,1.24642,1.12664,1.32547,0.0065845,0.0065845,0.0065845
71,2092.06,1.49764,1.19846,1.32034,0.64869,0.32559,0.38258,0.27206,1.21025,1.06749,1.32137,0.006535,0.006535,0.006535
72,2115.73,1.49227,1.20353,1.31445,0.59912,0.31796,0.37116,0.26518,1.21158,1.19421,1.35003,0.0064855,0.0064855,0.0064855
73,2136.04,1.47899,1.19518,1.32766,0.59606,0.32283,0.38915,0.26919,1.29018,1.10085,1.3448,0.006436,0.006436,0.006436
74,2157.26,1.48637,1.2075,1.30344,0.59642,0.32503,0.38384,0.26737,1.25948,1.13649,1.37289,0.0063865,0.0063865,0.0063865
75,2178.45,1.49414,1.19301,1.30713,0.65176,0.33314,0.38415,0.26206,1.26484,1.12559,1.3728,0.006337,0.006337,0.006337
76,2198.65,1.45098,1.16399,1.3034,0.57009,0.34527,0.38603,0.27383,1.22036,1.09072,1.34004,0.0062875,0.0062875,0.0062875
77,2219.18,1.46378,1.16452,1.29936,0.57148,0.3379,0.38392,0.27112,1.23086,1.09396,1.34088,0.006238,0.006238,0.006238
78,2240.62,1.43658,1.15109,1.29501,0.63858,0.33428,0.3892,0.27579,1.20218,1.09133,1.35122,0.0061885,0.0061885,0.0061885
79,2261.38,1.43422,1.14774,1.31589,0.61679,0.34038,0.38774,0.26809,1.28023,1.10563,1.39052,0.006139,0.006139,0.006139
80,2284.53,1.52169,1.17907,1.30746,0.63356,0.3343,0.3918,0.27807,1.23074,1.13852,1.3669,0.0060895,0.0060895,0.0060895
81,2306.47,1.45293,1.13111,1.29354,0.67195,0.33258,0.39075,0.27856,1.1987,1.1097,1.35257,0.00604,0.00604,0.00604
82,2328.14,1.44211,1.13945,1.2811,0.61296,0.32735,0.38838,0.27714,1.20196,1.12197,1.33949,0.0059905,0.0059905,0.0059905
83,2348.27,1.4323,1.1338,1.2761,0.62334,0.33774,0.40164,0.28537,1.20119,1.05678,1.29857,0.005941,0.005941,0.005941
84,2369.26,1.44095,1.14582,1.28765,0.53955,0.33997,0.3837,0.27132,1.20486,1.05177,1.28827,0.0058915,0.0058915,0.0058915
85,2390.39,1.44361,1.12431,1.30724,0.71776,0.34398,0.40123,0.2839,1.21233,1.08986,1.32095,0.005842,0.005842,0.005842
86,2411.05,1.4326,1.12956,1.27208,0.58073,0.34686,0.39553,0.28342,1.1976,1.06909,1.30054,0.0057925,0.0057925,0.0057925
87,2431.34,1.40438,1.13209,1.28708,0.58091,0.37127,0.41461,0.29324,1.18876,1.00592,1.31424,0.005743,0.005743,0.005743
88,2452.41,1.47679,1.16658,1.2966,0.60859,0.35481,0.40391,0.28333,1.25966,1.08383,1.38588,0.0056935,0.0056935,0.0056935
89,2473.17,1.45498,1.15105,1.30547,0.63303,0.35288,0.40305,0.28637,1.21641,1.06297,1.30467,0.005644,0.005644,0.005644
90,2493.97,1.4445,1.13804,1.29728,0.60991,0.33999,0.3898,0.27937,1.19722,1.05616,1.32155,0.0055945,0.0055945,0.0055945
91,2513.84,1.44175,1.16044,1.30338,0.62688,0.3786,0.41885,0.29569,1.20083,1.01457,1.33186,0.005545,0.005545,0.005545
92,2535.03,1.42293,1.11848,1.2801,0.61878,0.36029,0.40886,0.28877,1.21187,1.06074,1.3278,0.0054955,0.0054955,0.0054955
93,2555.53,1.44322,1.1231,1.28354,0.64488,0.35739,0.41254,0.29969,1.1709,1.02002,1.31107,0.005446,0.005446,0.005446
94,2576.3,1.41391,1.09433,1.27121,0.67568,0.35237,0.40724,0.28656,1.22763,1.04306,1.3135,0.0053965,0.0053965,0.0053965
95,2596.72,1.43412,1.10325,1.27565,0.6599,0.36054,0.41374,0.29753,1.16668,1.03369,1.29782,0.005347,0.005347,0.005347
96,2617.69,1.40359,1.11253,1.29111,0.69307,0.36203,0.41375,0.29499,1.18686,1.03125,1.28743,0.0052975,0.0052975,0.0052975
97,2638.57,1.44774,1.10963,1.27504,0.63407,0.37186,0.4166,0.29958,1.17325,1.00409,1.30861,0.005248,0.005248,0.005248
98,2660.37,1.385,1.11764,1.27938,0.64617,0.35705,0.41751,0.30095,1.15698,1.02885,1.32249,0.0051985,0.0051985,0.0051985
99,2682.53,1.41984,1.11915,1.28772,0.66336,0.36013,0.41364,0.29959,1.16339,1.0483,1.30731,0.005149,0.005149,0.005149
100,2703.71,1.40706,1.08913,1.29505,0.68522,0.35561,0.4204,0.30406,1.14537,0.98628,1.31259,0.0050995,0.0050995,0.0050995
